step,rtt_ms
0,353.4830631688237
1,40.64248502254486
2,40.050288662314415
3,41.906717233359814
4,41.868604719638824
5,43.94508805125952
6,44.400617480278015
7,41.874417103827
8,42.39338543266058
9,42.65384469181299
10,48.949720337986946
11,46.58611584454775
12,44.25357934087515
13,42.99294389784336
14,43.350307270884514
15,42.68268961459398
16,43.830472975969315
17,44.189659878611565
18,43.87751221656799
19,48.31021651625633
20,42.38433763384819
21,43.67177374660969
22,42.74750221520662
23,43.73889043927193
24,43.35163068026304
25,42.73128230124712
26,44.263618998229504
27,43.334527872502804
28,43.46521385014057
29,43.9487649127841
30,42.09617339074612
31,43.25318522751331
32,43.565873987972736
33,43.45140792429447
34,43.403628282248974
35,42.72243473678827
36,43.799323961138725
37,42.89994854480028
38,43.547248467803
39,42.051621712744236
40,42.88970958441496
41,44.746819883584976
42,43.48438046872616
43,43.03090553730726
44,42.616805993020535
45,41.54819156974554
46,41.64964333176613
47,43.625607155263424
48,43.17683074623346
49,41.97370260953903
50,42.09223669022322
51,39.9184999987483
52,41.50583129376173
53,40.73499981313944
54,41.0614637658
55,41.657508350908756
56,42.015211656689644
57,41.2162858992815
58,41.46444424986839
59,40.99986795336008
60,42.108967900276184
61,42.11662337183952
62,40.334935300052166
63,39.88204151391983
64,42.008379474282265
65,42.274029925465584
66,49.02005288749933
67,40.153262205421925
68,39.67591281980276
69,39.95595034211874
70,41.3911659270525
71,40.7212832942605
72,40.300059132277966
73,39.737408980727196
74,41.29821993410587
75,41.89400281757116
76,41.747236624360085
77,41.13722778856754
78,42.87552274763584
79,41.15538205951452
80,43.122668750584126
81,42.19608195126057
82,40.73086101561785
83,42.33637638390064
84,43.90773829072714
85,41.68268479406834
86,41.06606263667345
87,42.09794756025076
88,41.860259138047695
89,41.207960806787014
90,41.219091042876244
91,41.15897789597511
92,41.30900092422962
93,41.109233163297176
94,41.26595985144377
95,40.23846425116062
96,41.196128353476524
97,41.36357270181179
98,41.39614384621382
99,41.833839379251
100,42.62165445834398
101,39.98208977282047
102,40.769162587821484
103,40.196855552494526
104,41.124182753264904
105,42.58200991898775
106,42.07748919725418
107,43.962991796433926
108,43.773725628852844
109,45.59246264398098
110,46.687085181474686
111,47.1309432759881
112,48.62223379313946
113,48.60998969525099
114,49.27221778780222
115,50.728000700473785
116,48.78605157136917
117,51.0999821126461
118,50.6085054948926
119,51.91252380609512
120,51.540772430598736
121,51.249705255031586
122,51.36559251695871
123,50.88571924716234
124,52.97167971730232
125,52.07795649766922
126,52.39916127175093
127,52.93785687536001
128,54.335360415279865
129,56.62123765796423
130,57.03233275562525
131,58.18989407271147
132,58.734411373734474
133,59.527394361793995
134,59.68483164906502
135,58.03429055958986
136,58.198630809783936
137,63.86246532201767
138,56.32268451154232
139,56.68195337057114
140,58.39886795729399
141,58.765990659594536
142,57.805800810456276
143,57.16096516698599
144,56.52778223156929
145,55.57837150990963
146,54.485101252794266
147,54.607754573225975
148,55.08892051875591
149,54.96858339756727
150,56.058406829833984
151,55.949862115085125
152,55.586948059499264
153,55.298394523561
154,54.18222211301327
155,52.387879230082035
156,51.40459630638361
157,50.37603713572025
158,49.2816548794508
159,48.863086849451065
160,48.44109248369932
161,49.22168329358101
162,49.25917275249958
163,50.04591587930918
164,50.23644492030144
165,50.37621781229973
166,50.46783108264208
167,49.63682498782873
168,49.53188635408878
169,49.33131951838732
170,48.588608391582966
171,47.86203056573868
172,47.418052330613136
173,46.996649354696274
174,47.06706199795008
175,48.01499843597412
176,47.37935122102499
177,48.68198465555906
178,49.051642417907715
179,50.511362962424755
180,50.86892656981945
181,50.32103415578604
182,51.06467567384243
183,50.910926423966885
184,50.65952241420746
185,51.320066675543785
186,50.42050126940012
187,50.42901821434498
188,51.3649620115757
189,52.541058510541916
190,51.50740034878254
191,51.758323796093464
192,50.72380416095257
193,51.038467325270176
194,51.72498989850283
195,52.80009750276804
196,51.116954535245895
197,51.542896777391434
198,52.28362325578928
199,51.23280268162489
200,51.73707287758589
201,52.04763822257519
202,51.469529047608376
203,51.58652924001217
204,51.37179512530565
205,51.94081738591194
206,51.67961586266756
207,51.17780901491642
208,51.921240985393524
209,51.298045553267
210,52.63559613376856
211,51.76806263625622
212,51.52780842036009
213,50.934419967234135
214,51.336297765374184
215,52.12855152785778
216,51.01260729134083
217,58.40469803661108
218,51.29761528223753
219,50.83273909986019
220,52.632550708949566
221,51.16770975291729
222,52.050444297492504
223,51.55493970960379
224,50.459014251828194
225,51.89733486622572
226,49.97874889522791
227,50.83321966230869
228,50.73662754148245
229,50.309643149375916
230,50.283703953027725
231,50.44972710311413
232,50.57660583406687
233,51.236649975180626
234,51.605273969471455
235,50.80537684261799
236,50.91709643602371
237,51.30100157111883
238,50.46677961945534
239,50.517513416707516
240,51.075286231935024
241,51.42152775079012
242,50.44039897620678
243,50.318469293415546
244,51.18790827691555
245,50.98972376435995
246,51.17352120578289
247,50.54559838026762
248,51.62846762686968
249,50.435129553079605
250,51.14438571035862
251,49.80248771607876
252,49.883460626006126
253,50.445138476789
254,50.44906586408615
