step,rtt_ms
0,337.0724683627486
1,32.371560111641884
2,31.30771405994892
3,32.21909236162901
4,32.10344444960356
5,31.664246693253517
6,31.736692413687706
7,31.510076485574245
8,34.396396949887276
9,36.51249688118696
10,34.897731617093086
11,32.208762131631374
12,32.41014201194048
13,31.825239770114422
14,32.844522036612034
15,33.02294760942459
16,32.335792668163776
17,33.33972580730915
18,32.71370567381382
19,31.681468710303307
20,32.083457335829735
21,31.641614623367786
22,31.60256054252386
23,31.69709723442793
24,31.81448020040989
25,33.41470751911402
26,33.562636002898216
27,31.873680651187897
28,33.326881006360054
29,32.29758143424988
30,31.82498924434185
31,33.08606706559658
32,30.811268836259842
33,32.5797013938427
34,31.569767743349075
35,33.16275216639042
36,31.17901086807251
37,31.67122881859541
38,32.12699759751558
39,31.98929876089096
40,32.54470694810152
41,33.357649110257626
42,32.16686472296715
43,32.38452412188053
44,32.52951800823212
45,31.125380657613277
46,33.043235540390015
47,32.067786902189255
48,31.618470326066017
49,31.600546091794968
50,32.20499586313963
51,32.26953744888306
52,34.85739603638649
53,33.588504418730736
54,32.41715580224991
55,34.291730262339115
56,32.84764662384987
57,33.90751499682665
58,34.45618040859699
59,32.8949261456728
60,32.823472283780575
61,34.22841057181358
62,33.540304750204086
63,32.83187747001648
64,33.52116700261831
65,33.75929594039917
66,33.50401483476162
67,32.63686038553715
68,31.42460435628891
69,32.16152358800173
70,32.089908607304096
71,31.87701851129532
72,31.808468513190746
73,31.880304217338562
74,32.26566966623068
75,31.175944954156876
76,32.0158489048481
77,32.45213255286217
78,32.11994469165802
79,35.08647810667753
80,34.45643000304699
81,34.51525140553713
82,33.51140953600407
83,32.85585343837738
84,32.7664939686656
85,31.660218723118305
86,32.68083278089762
87,31.5618934109807
88,32.58495219051838
89,32.82157890498638
90,34.20747071504593
91,33.9997299015522
92,31.79195709526539
93,31.059916131198406
94,33.86778011918068
95,32.87051059305668
96,31.389988958835602
97,32.22605586051941
98,33.229608088731766
99,32.291789539158344
100,32.232437282800674
101,33.28462038189173
102,31.91601112484932
103,32.32837747782469
104,33.76246150583029
105,33.674576319754124
106,34.433336928486824
107,34.60035193711519
108,35.63736751675606
109,37.05176338553429
110,38.06170728057623
111,37.94724214822054
112,38.05651795119047
113,39.21857848763466
114,38.907282054424286
115,40.14146886765957
116,38.9824528247118
117,40.47482740134001
118,40.332699194550514
119,40.81480763852596
120,42.545790784060955
121,41.7134715244174
122,42.323581874370575
123,42.606295086443424
124,42.521534487605095
125,41.48734547197819
126,41.92509036511183
127,42.002235539257526
128,42.29119140654802
129,41.395251639187336
130,41.16437677294016
131,42.17087384313345
132,42.3809215426445
133,41.415050625801086
134,41.32335539907217
135,41.31990019232035
136,41.02877154946327
137,41.911075823009014
138,41.66320711374283
139,42.498270981013775
140,42.13413503021002
141,41.02182760834694
142,41.86726175248623
143,41.30022320896387
144,41.55123606324196
145,41.61109961569309
146,41.53100773692131
147,41.675531305372715
148,41.544223204255104
149,41.98073595762253
150,41.970967315137386
151,44.52524334192276
152,42.41992346942425
153,43.191688135266304
154,42.11168270558119
155,43.27670857310295
156,42.872486636042595
157,43.019563890993595
158,42.45438892394304
159,42.83418506383896
160,43.07674150913954
161,43.29860955476761
162,42.699300684034824
163,42.972165159881115
164,43.33764407783747
165,41.33047070354223
166,41.94400645792484
167,42.51357074826956
168,42.19035059213638
169,49.4836512953043
170,42.63996798545122
171,42.02758427709341
172,42.790752835571766
173,42.07830969244242
174,41.868104599416256
175,41.09044745564461
176,41.87354352325201
177,41.771882213652134
178,42.099679820239544
179,41.588205844163895
180,40.88406823575497
181,41.342733427882195
182,40.93632660806179
183,40.88601190596819
184,40.908293798565865
185,41.11010488122702
186,41.79106839001179
187,40.84869101643562
188,40.194567292928696
189,41.23295657336712
190,40.5806265771389
191,40.84322135895491
192,40.646971203386784
193,40.90775270015001
194,40.537855587899685
195,40.774391032755375
196,41.092551313340664
197,40.69813620299101
198,40.338268503546715
199,40.23812059313059
200,39.69732113182545
201,40.511997416615486
202,39.971066638827324
203,40.59361107647419
204,42.12037846446037
205,40.938219986855984
206,40.14822095632553
207,40.73800332844257
208,41.05162341147661
209,40.194688364863396
210,40.17057362943888
211,40.300448425114155
212,39.70583714544773
213,40.33260885626078
214,40.60528241097927
215,40.1277132332325
216,39.85642082989216
217,40.2449332177639
218,40.310487151145935
219,40.37949722260237
220,40.28389696031809
221,40.845866315066814
222,40.55733233690262
223,40.90431518852711
224,40.97520001232624
225,39.84932694584131
226,40.977333672344685
227,40.18164426088333
228,39.84831552952528
229,40.89938756078482
230,40.12204147875309
231,39.919620379805565
232,40.64382426440716
233,40.13926349580288
234,41.08206182718277
235,39.85803388059139
236,40.530310943722725
237,39.99787662178278
238,40.66008608788252
239,39.841772988438606
240,40.17224628478289
241,39.617870934307575
242,39.34997599571943
243,39.36027642339468
244,39.274003356695175
245,38.844131864607334
246,39.19808939099312
247,39.64537288993597
248,39.37079571187496
249,39.48188479989767
250,47.85052128136158
251,40.29932618141174
252,39.4336236640811
253,39.230940863490105
254,39.51085917651653
255,40.05928337574005
256,39.828358218073845
257,39.565022103488445
258,39.58430793136358
259,38.95835857838392
260,39.21554330736399
261,40.09953886270523
262,40.36677349358797
263,40.477972477674484
264,40.73844384402037
265,40.627394802868366
266,40.98730254918337
267,41.364544071257114
268,40.7859031111002
269,41.373481042683125
270,41.51649121195078
271,41.30726587027311
272,41.38379171490669
